details,make,model,year,price,description,seller,color,transmission,mileage,condition,number_of_doors,location,fuel_type,image,is_sold
"Luxury sedan","BMW","5 Series",2021,60000.00,"A luxurious sedan designed for comfort and performance. Features advanced technology and a smooth ride, perfect for both business and pleasure.","sita_verma","Black","Automatic",15,"New",4,"Mumbai","Petrol","https://upload.wikimedia.org/wikipedia/commons/3/3b/2021_BMW_5_Series.jpg","FALSE"
"Compact SUV","Honda","CR-V",2020,35000.00,"Versatile compact SUV that blends style and utility. It offers ample cargo space and a comfortable interior, making it ideal for family trips.","anita_sharma","Blue","Automatic",14,"Used",4,"Delhi","Petrol","https://upload.wikimedia.org/wikipedia/commons/1/1b/2020_Honda_CR-V.jpg","FALSE"
"Sporty coupe","Ford","Mustang",2019,55000.00,"Classic American muscle car with aggressive styling. Delivers impressive performance and exhilarating handling on any road.","vikram_rao","Red","Manual",12,"Used",2,"Bangalore","Petrol","https://upload.wikimedia.org/wikipedia/commons/d/d9/2019_Ford_Mustang.jpg","FALSE"
"Family minivan","Toyota","Sienna",2021,40000.00,"Spacious family minivan that prioritizes safety and convenience. It features flexible seating arrangements and advanced infotainment options.","priya_mishra","Silver","Automatic",13,"New",4,"Kolkata","Petrol","https://upload.wikimedia.org/wikipedia/commons/7/7b/2021_Toyota_Sienna.jpg","FALSE"
"Electric hatchback","Tesla","Model 3",2022,45000.00,"Innovative electric car that combines performance with sustainability. Enjoy high-tech features and zero emissions for a greener future.","aman_jain","White","Automatic",15,"New",4,"Hyderabad","Electric","https://upload.wikimedia.org/wikipedia/commons/5/5b/Tesla_Model_3_2021.jpg","FALSE"
"Luxury SUV","Mercedes-Benz","GLE",2020,75000.00,"Luxury SUV equipped with state-of-the-art technology and a plush interior. Ideal for those who demand elegance and performance in one package.","neha_chopra","Black","Automatic",10,"Used",4,"Pune","Diesel","https://upload.wikimedia.org/wikipedia/commons/e/e6/2020_Mercedes-Benz_GLE_450.jpg","FALSE"
"Compact sedan","Hyundai","Elantra",2018,18000.00,"Reliable compact sedan with excellent fuel economy. It offers a comfortable ride and is loaded with modern safety features.","raj_kapoor","Gray","Automatic",15,"Used",4,"Mumbai","Petrol","https://upload.wikimedia.org/wikipedia/commons/0/05/2018_Hyundai_Elantra.jpg","FALSE"
"Off-road vehicle","Jeep","Wrangler",2021,50000.00,"Rugged off-road vehicle with exceptional capability. Built to tackle any terrain, it offers a thrilling driving experience.","sita_verma","Green","Manual",12,"New",2,"Delhi","Petrol","https://upload.wikimedia.org/wikipedia/commons/e/e1/2021_Jeep_Wrangler.jpg","FALSE"
"Performance sedan","Audi","A4",2019,40000.00,"Performance sedan that merges luxury with sporty dynamics. Experience an exquisite interior and a powerful engine.","priya_mishra","White","Automatic",14,"Used",4,"Bangalore","Petrol","https://upload.wikimedia.org/wikipedia/commons/4/4b/2019_Audi_A4.jpg","FALSE"
"City car","Kia","Rio",2020,15000.00,"Affordable and fuel-efficient city car. Its compact design makes it easy to navigate urban environments while providing great value.","vikram_rao","Red","Automatic",16,"Used",4,"Kolkata","Petrol","https://upload.wikimedia.org/wikipedia/commons/3/3f/2020_Kia_Rio.jpg","FALSE"
